chromosome,gene_id,locus_tag,gene_name,cds_start,cds_end,strand,product,protein_id,cds_length
NC_000962.3,Rv0650,Rv0650,,747037,747942,+,sugar kinase,NP_215164.1,906
NC_000962.3,Rv0651,Rv0651,rplJ,748276,748809,+,50S ribosomal protein L10,NP_215165.1,534
NC_000962.3,Rv0652,Rv0652,rplL,748849,749238,+,50S ribosomal protein L7/L12,NP_215166.1,390
NC_000962.3,Rv0653c,Rv0653c,,749237,749929,-,transcriptional regulator,NP_215167.1,693
NC_000962.3,Rv0654,Rv0654,,750000,751502,+,carotenoid cleavage oxygenase,NP_215168.1,1503
NC_000962.3,Rv0655,Rv0655,mkl,751517,752593,+,ABC transporter ATP-binding protein,NP_215169.1,1077
NC_000962.3,Rv0656c,Rv0656c,vapC6,752987,753367,-,ribonuclease VapC6,NP_215170.1,381
NC_000962.3,Rv0657c,Rv0657c,vapB6,753465,753617,-,antitoxin VapB6,NP_215171.1,153
NC_000962.3,Rv0658c,Rv0658c,,753696,754409,-,integral membrane protein,NP_215172.1,714
NC_000962.3,Rv0659c,Rv0659c,mazF2,754688,754993,-,toxin MazF2,NP_215173.1,306
NC_000962.3,Rv0660c,Rv0660c,mazE2,754983,755225,-,antitoxin MazE2,NP_215174.1,243
NC_000962.3,Rv0661c,Rv0661c,vapC7,755338,755772,-,ribonuclease VapC7,NP_215175.1,435
NC_000962.3,Rv0662c,Rv0662c,vapB7,755772,756023,-,antitoxin VapB7,NP_215176.2,252
NC_000962.3,Rv0663,Rv0663,atsD,756137,758497,+,arylsulfatase AtsD,NP_215177.1,2361
NC_000962.3,Rv0664,Rv0664,vapB8,758532,758801,+,antitoxin VapB8,NP_215178.1,270
NC_000962.3,Rv0665,Rv0665,vapC8,758801,759136,+,ribonuclease VapC8,NP_215179.1,336
NC_000962.3,Rv0666,Rv0666,,759136,759306,+,membrane protein,NP_215180.1,171
NC_000962.3,Rv0667,Rv0667,rpoB,759807,763322,+,DNA-directed RNA polymerase subunit beta,NP_215181.1,3516
NC_000962.3,Rv0668,Rv0668,rpoC,763370,767317,+,DNA-directed RNA polymerase subunit beta',NP_215182.1,3948
NC_000962.3,Rv0669c,Rv0669c,,767687,769597,-,neutral ceramidase,NP_215183.1,1911
NC_000962.3,Rv0670,Rv0670,end,769792,770547,+,endonuclease IV,NP_215184.1,756
NC_000962.3,Rv0671,Rv0671,lpqP,770582,771421,+,lipoprotein LpqP,NP_215185.1,840
NC_000962.3,Rv0672,Rv0672,fadE8,771484,773109,+,acyl-CoA dehydrogenase FadE8,NP_215186.1,1626
NC_000962.3,Rv0673,Rv0673,echA4,773123,774058,+,enoyl-CoA hydratase EchA4,NP_215187.1,936
NC_000962.3,Rv0674,Rv0674,,774064,774783,+,hypothetical protein,NP_215188.1,720
NC_000962.3,Rv0675,Rv0675,echA5,774783,775571,+,enoyl-CoA hydratase EchA5,YP_177745.1,789
NC_000962.3,Rv0676c,Rv0676c,mmpL5,775589,778480,-,transmembrane transport protein MmpL5,NP_215190.1,2892
NC_000962.3,Rv0677c,Rv0677c,mmpS5,778480,778905,-,membrane protein MmpS5,NP_215191.1,426
NC_000962.3,Rv0678,Rv0678,,778990,779484,+,hypothetical protein,NP_215192.1,495
NC_000962.3,Rv0679c,Rv0679c,,779546,780040,-,hypothetical protein,NP_215193.1,495
NC_000962.3,Rv0680c,Rv0680c,,780045,780416,-,transmembrane protein,NP_215194.1,372
NC_000962.3,Rv0681,Rv0681,,780721,781308,+,transcriptional regulator,NP_215195.1,588
NC_000962.3,Rv0682,Rv0682,rpsL,781560,781931,+,30S ribosomal protein S12,NP_215196.1,372
NC_000962.3,Rv0683,Rv0683,rpsG,781934,782401,+,30S ribosomal protein S7,NP_215197.1,468
NC_000962.3,Rv0684,Rv0684,fusA1,782485,784587,+,elongation factor G,YP_177746.1,2103
NC_000962.3,Rv0685,Rv0685,tuf,784821,786008,+,elongation factor Tu,NP_215199.1,1188
NC_000962.3,Rv0686,Rv0686,,786149,786943,+,membrane protein,NP_215200.1,795
NC_000962.3,Rv0687,Rv0687,,787099,787923,+,NAD-dependent oxidoreductase,NP_215201.1,825
NC_000962.3,Rv0688,Rv0688,,787940,789157,+,ferredoxin reductase,NP_215202.1,1218
NC_000962.3,Rv0689c,Rv0689c,,789160,789411,-,hypothetical protein,NP_215203.1,252
NC_000962.3,Rv0690c,Rv0690c,,790027,791073,-,hypothetical protein,NP_215204.1,1047
NC_000962.3,Rv0691c,Rv0691c,,791073,791666,-,mycofactocin biosynthesis transcriptional regulator MftR,NP_215205.1,594
NC_000962.3,Rv0691A,Rv0691A,,791757,791843,+,mycofactocin precursor,YP_007409348.2,87
NC_000962.3,Rv0692,Rv0692,,791831,792157,+,mycofactocin system protein MftB,NP_215206.1,327
NC_000962.3,Rv0693,Rv0693,,792157,793329,+,mycofactocin radical SAM maturase MftC,NP_215207.1,1173
NC_000962.3,Rv0694,Rv0694,,793335,794522,+,mycofactocin system heme/flavin oxidoreductase MftD,NP_215208.1,1188
NC_000962.3,Rv0695,Rv0695,,794715,795467,+,mycofactocin system creatinine amidohydrolase family protein MftE,NP_215209.1,753
NC_000962.3,Rv0696,Rv0696,,795519,796928,+,mycofactocin biosynthesis glycosyltransferase MftF,NP_215210.1,1410
NC_000962.3,Rv0697,Rv0697,,796933,798369,+,dehydrogenase,NP_215211.1,1437
NC_000962.3,Rv0698,Rv0698,,798833,799441,+,hypothetical protein,NP_215212.1,609
NC_000962.3,Rv0699,Rv0699,,799629,799847,+,hypothetical protein,NP_215213.1,219
NC_000962.3,Rv0700,Rv0700,rpsJ,800487,800789,+,30S ribosomal protein S10,NP_215214.1,303
NC_000962.3,Rv0701,Rv0701,rplC,800809,801459,+,50S ribosomal protein L3,NP_215215.1,651
NC_000962.3,Rv0702,Rv0702,rplD,801462,802130,+,50S ribosomal protein L4,NP_215216.1,669
NC_000962.3,Rv0703,Rv0703,rplW,802133,802432,+,50S ribosomal protein L23,NP_215217.1,300
NC_000962.3,Rv0704,Rv0704,rplB,802528,803367,+,50S ribosomal protein L2,NP_215218.1,840
NC_000962.3,Rv0705,Rv0705,rpsS,803411,803689,+,30S ribosomal protein S19,NP_215219.1,279
NC_000962.3,Rv0706,Rv0706,rplV,803689,804279,+,50S ribosomal protein L22,NP_215220.1,591
NC_000962.3,Rv0707,Rv0707,rpsC,804282,805103,+,30S ribosomal protein S3,NP_215221.1,822
NC_000962.3,Rv0708,Rv0708,rplP,805110,805523,+,50S ribosomal protein L16,NP_215222.1,414
NC_000962.3,Rv0709,Rv0709,rpmC,805526,805756,+,50S ribosomal protein L29,NP_215223.1,231
NC_000962.3,Rv0710,Rv0710,rpsQ,805756,806163,+,30S ribosomal protein S17,NP_215224.1,408
NC_000962.3,Rv0711,Rv0711,atsA,806335,808695,+,arylsulfatase AtsA,NP_215225.1,2361
NC_000962.3,Rv0712,Rv0712,,808746,809642,+,hypothetical protein,NP_215226.1,897
NC_000962.3,Rv0713,Rv0713,,809946,810884,+,transmembrane protein,NP_215227.1,939
NC_000962.3,Rv0714,Rv0714,rplN,811373,811738,+,50S ribosomal protein L14,NP_215228.1,366
NC_000962.3,Rv0715,Rv0715,rplX,811742,812056,+,50S ribosomal protein L24,NP_215229.1,315
NC_000962.3,Rv0716,Rv0716,rplE,812059,812619,+,50S ribosomal protein L5,NP_215230.1,561
NC_000962.3,Rv0717,Rv0717,rpsN1,812627,812809,+,30S ribosomal protein S14,YP_177747.1,183
NC_000962.3,Rv0718,Rv0718,rpsH,812976,813371,+,30S ribosomal protein S8,NP_215232.1,396
NC_000962.3,Rv0719,Rv0719,rplF,813398,813934,+,50S ribosomal protein L6,NP_215233.1,537
NC_000962.3,Rv0720,Rv0720,rplR,813940,814305,+,50S ribosomal protein L18,NP_215234.1,366
NC_000962.3,Rv0721,Rv0721,rpsE,814328,814987,+,30S ribosomal protein S5,NP_215235.1,660
NC_000962.3,Rv0722,Rv0722,rpmD,814993,815187,+,50S ribosomal protein L30,NP_215236.1,195
NC_000962.3,Rv0723,Rv0723,rplO,815190,815627,+,50S ribosomal protein L15,NP_215237.1,438
NC_000962.3,Rv0724,Rv0724,sppA,815663,817531,+,protease IV SppA,NP_215238.1,1869
NC_000962.3,Rv0725c,Rv0725c,,817542,818444,-,hypothetical protein,NP_215239.1,903
NC_000962.3,Rv0726c,Rv0726c,,818540,819640,-,S-adenosylmethionine-dependent methyltransferase,NP_215240.1,1101
NC_000962.3,Rv0727c,Rv0727c,fucA,819846,820499,-,L-fuculose phosphate aldolase FucA,NP_215241.1,654
NC_000962.3,Rv0728c,Rv0728c,serA2,820499,821476,-,D-3-phosphoglycerate dehydrogenase SerA,NP_215242.1,978
NC_000962.3,Rv0729,Rv0729,xylB,821507,822850,+,D-xylulose kinase XylB,NP_215243.1,1344
NC_000962.3,Rv0730,Rv0730,,822866,823591,+,GCN5-like N-acetyltransferase,NP_215244.1,726
NC_000962.3,Rv0731c,Rv0731c,,823686,824639,-,S-adenosylmethionine-dependent methyltransferase,NP_215245.1,954
NC_000962.3,Rv0732,Rv0732,secY,824800,826122,+,preprotein translocase SecY,NP_215246.1,1323
NC_000962.3,Rv0733,Rv0733,adk,826122,826664,+,adenylate kinase,NP_215247.1,543
NC_000962.3,Rv0734,Rv0734,mapA,826670,827467,+,methionine aminopeptidase,YP_177748.1,798
NC_000962.3,Rv0735,Rv0735,sigL,827543,828073,+,ECF RNA polymerase sigma factor SigL,NP_215249.1,531
NC_000962.3,Rv0736,Rv0736,rslA,828140,828889,+,anti-sigma-L factor RslA,NP_215250.1,750
NC_000962.3,Rv0737,Rv0737,,829207,829701,+,transcriptional regulator,NP_215251.1,495
NC_000962.3,Rv0738,Rv0738,,830062,830607,+,hypothetical protein,NP_215252.1,546
NC_000962.3,Rv0739,Rv0739,,830855,831658,+,hypothetical protein,NP_215253.1,804
NC_000962.3,Rv0740,Rv0740,,831776,832300,+,hypothetical protein,NP_215254.1,525
NC_000962.3,Rv0742,Rv0742,,832981,833505,+,hypothetical protein,YP_177749.1,525
NC_000962.3,Rv0743c,Rv0743c,,833889,834443,-,hypothetical protein,NP_215257.1,555
NC_000962.3,Rv0744c,Rv0744c,,834443,834946,-,transcriptional regulator,NP_215258.1,504
NC_000962.3,Rv0745,Rv0745,,835154,835678,+,hypothetical protein,NP_215259.1,525
NC_000962.3,Rv0746,Rv0746,PE_PGRS9,835701,838049,+,PE-PGRS family protein PE_PGRS9,YP_177750.1,2349
NC_000962.3,Rv0747,Rv0747,PE_PGRS10,838451,840853,+,PE-PGRS family protein PE_PGRS10,YP_177751.1,2403
NC_000962.3,Rv0748,Rv0748,vapB31,840947,841201,+,antitoxin VapB31,NP_215262.1,255
NC_000962.3,Rv0749,Rv0749,vapC31,841228,841653,+,ribonuclease VapC31,NP_215263.1,426
NC_000962.3,Rv0749A,Rv0749A,,841740,841874,-,hypothetical protein,YP_177632.1,135
NC_000962.3,Rv0750,Rv0750,,842033,842275,+,hypothetical protein,NP_215264.1,243
NC_000962.3,Rv0751c,Rv0751c,mmsB,842350,843231,-,3-hydroxyisobutyrate dehydrogenase,NP_215265.1,882
NC_000962.3,Rv0752c,Rv0752c,fadE9,843245,844414,-,acyl-CoA dehydrogenase FadE9,NP_215266.1,1170
NC_000962.3,Rv0753c,Rv0753c,mmsA,844424,845953,-,methylmalonate-semialdehyde dehydrogenase,NP_215267.1,1530
NC_000962.3,Rv0754,Rv0754,PE_PGRS11,846159,847910,+,PE-PGRS family protein PE_PGRS11,YP_177752.1,1752
NC_000962.3,Rv0755c,Rv0755c,PPE12,848106,850040,-,PPE family protein PPE12,YP_177753.1,1935
NC_000962.3,Rv0756c,Rv0756c,,850744,851466,-,hypothetical protein,NP_215270.1,723
NC_000962.3,Rv0757,Rv0757,phoP,851608,852348,+,two component system response transcriptional positive regulator PhoP,NP_215271.1,741
NC_000962.3,Rv0758,Rv0758,phoR,852396,853850,+,two component system response sensor kinase PhoR,NP_215272.1,1455
NC_000962.3,Rv0759c,Rv0759c,,853828,854157,-,hypothetical protein,NP_215273.3,330
NC_000962.3,Rv0760c,Rv0760c,,854270,854686,-,hypothetical protein,NP_215274.1,417
NC_000962.3,Rv0761c,Rv0761c,adhB,854702,855826,-,alcohol dehydrogenase B,YP_177754.1,1125
NC_000962.3,Rv0762c,Rv0762c,,855928,856470,-,hypothetical protein,NP_215276.1,543
NC_000962.3,Rv0763c,Rv0763c,,856476,856679,-,ferredoxin,NP_215277.1,204
NC_000962.3,Rv0764c,Rv0764c,cyp51,856685,858037,-,lanosterol 14-alpha demethylase,NP_215278.1,1353
NC_000962.3,Rv0765c,Rv0765c,,858040,858864,-,oxidoreductase,NP_215279.1,825
NC_000962.3,Rv0766c,Rv0766c,cyp123,858867,860072,-,cytochrome P450 Cyp123,NP_215280.1,1206
NC_000962.3,Rv0767c,Rv0767c,,860072,860710,-,HTH-type transcriptional regulator,NP_215281.1,639
NC_000962.3,Rv0768,Rv0768,aldA,860912,862378,+,aldehyde dehydrogenase AldA,NP_215282.1,1467
NC_000962.3,Rv0769,Rv0769,,862412,863155,+,oxidoreductase,NP_215283.1,744
NC_000962.3,Rv0770,Rv0770,,863256,864140,+,oxidoreductase,NP_215284.1,885
NC_000962.3,Rv0771,Rv0771,,864140,864571,+,4-carboxymuconolactone decarboxylase,NP_215285.1,432
NC_000962.3,Rv0772,Rv0772,purD,864586,865851,+,phosphoribosylamine--glycine ligase,NP_215286.1,1266
NC_000962.3,Rv0773c,Rv0773c,ggtA,865854,867389,-,bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase,NP_215287.1,1536
NC_000962.3,Rv0774c,Rv0774c,,867443,868351,-,hypothetical protein,NP_215288.2,909
NC_000962.3,Rv0775,Rv0775,,868407,869027,+,hypothetical protein,NP_215289.1,621
NC_000962.3,Rv0776c,Rv0776c,,868987,869763,-,hypothetical protein,NP_215290.1,777
NC_000962.3,Rv0777,Rv0777,purB,870008,871423,+,adenylosuccinate lyase PurB,NP_215291.1,1416
NC_000962.3,Rv0778,Rv0778,cyp126,871431,872672,+,cytochrome P450 Cyp126,NP_215292.1,1242
NC_000962.3,Rv0779c,Rv0779c,,872675,873292,-,transmembrane protein,NP_215293.1,618
NC_000962.3,Rv0780,Rv0780,purC,873343,874233,+,phosphoribosylaminoimidazole-succinocarboxamide synthase,NP_215294.1,891
NC_000962.3,Rv0783c,Rv0783c,emrB,876821,878440,-,multidrug resistance protein EmrB,NP_215297.1,1620
NC_000962.3,Rv0784,Rv0784,,878638,879321,+,hypothetical protein,NP_215298.1,684
NC_000962.3,Rv0785,Rv0785,,879340,881037,+,KsdD-like steroid dehydrogenase,NP_215299.1,1698
NC_000962.3,Rv0786c,Rv0786c,,881078,881713,-,hypothetical protein,NP_215300.2,636
NC_000962.3,Rv0787,Rv0787,,881459,882415,+,hypothetical protein,NP_215301.1,957
NC_000962.3,Rv0787A,Rv0787A,,882524,882760,+,hypothetical protein,YP_177755.1,237
NC_000962.3,Rv0788,Rv0788,purQ,882760,883431,+,phosphoribosylformylglycinamidine synthase,NP_215303.1,672
NC_000962.3,Rv0789c,Rv0789c,,883454,884050,-,hypothetical protein,NP_215304.1,597
NC_000962.3,Rv0790c,Rv0790c,,884075,884800,-,hypothetical protein,NP_215305.1,726
NC_000962.3,Rv0791c,Rv0791c,,884800,885840,-,hypothetical protein,NP_215306.1,1041
NC_000962.3,Rv0792c,Rv0792c,,885840,886646,-,transcriptional regulator,NP_215307.1,807
NC_000962.3,Rv0793,Rv0793,,886719,887021,+,monooxygenase,NP_215308.1,303
NC_000962.3,Rv0794c,Rv0794c,,887140,888636,-,oxidoreductase,YP_177756.1,1497
NC_000962.3,Rv0797,Rv0797,,890388,891479,+,insertion sequence element IS1547 transposase,NP_215312.1,1092
NC_000962.3,Rv0798c,Rv0798c,cfp29,891475,892269,-,hypothetical protein,NP_215313.1,795
NC_000962.3,Rv0799c,Rv0799c,,892269,893273,-,hypothetical protein,NP_215314.1,1005
NC_000962.3,Rv0800,Rv0800,pepC,893318,894616,+,M18 family aminopeptidase,NP_215315.1,1299
NC_000962.3,Rv0801,Rv0801,,894631,894975,+,hypothetical protein,NP_215316.1,345
NC_000962.3,Rv0802c,Rv0802c,,894975,895628,-,succinyl-CoA transferase,NP_215317.1,654
NC_000962.3,Rv0803,Rv0803,purL,895820,898081,+,phosphoribosylformylglycinamidine synthase 2,NP_215318.1,2262
NC_000962.3,Rv0804,Rv0804,,898081,898707,+,hypothetical protein,NP_215319.1,627
NC_000962.3,Rv0805,Rv0805,,898831,899784,+,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",NP_215320.1,954
NC_000962.3,Rv0806c,Rv0806c,cpsY,899735,901330,-,exopolysaccharide phosphotransferase CpsY,NP_215321.1,1596
NC_000962.3,Rv0807,Rv0807,,901635,902021,+,hypothetical protein,NP_215322.1,387
NC_000962.3,Rv0808,Rv0808,purF,902111,903691,+,amidophosphoribosyltransferase,NP_215323.1,1581
NC_000962.3,Rv0809,Rv0809,purM,903725,904816,+,phosphoribosylformylglycinamidine cyclo-ligase PurM,NP_215324.1,1092
NC_000962.3,Rv0810c,Rv0810c,,904908,905087,-,hypothetical protein,NP_215325.1,180
NC_000962.3,Rv0811c,Rv0811c,,905237,906340,-,hypothetical protein,NP_215326.1,1104
NC_000962.3,Rv0812,Rv0812,,906423,907289,+,4-amino-4-deoxychorismate lyase,YP_177757.1,867
NC_000962.3,Rv0813c,Rv0813c,,907341,908018,-,hypothetical protein,NP_215328.1,678
NC_000962.3,Rv0814c,Rv0814c,,908184,908483,-,hypothetical protein,NP_215329.1,300
NC_000962.3,Rv0815c,Rv0815c,cysA2,908488,909318,-,thiosulfate sulfurtransferase CysA,NP_215330.1,831
NC_000962.3,Rv0816c,Rv0816c,thiX,909614,910033,-,thioredoxin ThiX,NP_215331.1,420
NC_000962.3,Rv0817c,Rv0817c,,910033,910842,-,hypothetical protein,NP_215332.1,810
NC_000962.3,Rv0818,Rv0818,,910972,911736,+,transcriptional regulator,NP_215333.1,765
NC_000962.3,Rv0819,Rv0819,mshD,911736,912680,+,mycothiol acetyltransferase,NP_215334.1,945
NC_000962.3,Rv0820,Rv0820,phoT,912726,913499,+,phosphate ABC transporter ATP-binding protein PhoT,NP_215335.1,774
NC_000962.3,Rv0821c,Rv0821c,phoY2,913561,914199,-,phosphate-transport system transcriptional regulator PhoY2,NP_215336.1,639
NC_000962.3,Rv0822c,Rv0822c,,914260,916311,-,hypothetical protein,NP_215337.1,2052
NC_000962.3,Rv0823c,Rv0823c,,916480,917646,-,tRNA-dihydrouridine synthase,NP_215338.1,1167
NC_000962.3,Rv0824c,Rv0824c,desA1,917737,918750,-,acyl-ACP desaturase DesA,YP_177758.1,1014
NC_000962.3,Rv0825c,Rv0825c,,918915,919553,-,hypothetical protein,NP_215340.1,639
NC_000962.3,Rv0826,Rv0826,,919634,920686,+,hypothetical protein,NP_215341.1,1053
NC_000962.3,Rv0827c,Rv0827c,kmtR,920744,921133,-,HTH-type transcriptional regulator KmtR,NP_215342.1,390
NC_000962.3,Rv0828c,Rv0828c,,921194,921613,-,deaminase,NP_215343.1,420
NC_000962.3,Rv0830,Rv0830,,921970,922872,+,S-adenosylmethionine-dependent methyltransferase,NP_215345.1,903
NC_000962.3,Rv0831c,Rv0831c,,922897,923709,-,hypothetical protein,NP_215346.1,813
NC_000962.3,Rv0832,Rv0832,PE_PGRS12,924951,925361,+,PE-PGRS family protein PE_PGRS12,YP_177759.1,411
NC_000962.3,Rv0833,Rv0833,PE_PGRS13,925361,927607,+,PE-PGRS family protein PE_PGRS13,YP_177760.1,2247
NC_000962.3,Rv0834c,Rv0834c,PE_PGRS14,927840,930485,-,PE-PGRS family protein PE_PGRS14,YP_177761.1,2646
NC_000962.3,Rv0835,Rv0835,lpqQ,930953,931594,+,lipoprotein LpqQ,NP_215350.1,642
NC_000962.3,Rv0836c,Rv0836c,,932282,932932,-,hypothetical protein,NP_215351.1,651
NC_000962.3,Rv0837c,Rv0837c,,933006,934031,-,hypothetical protein,NP_215352.1,1026
NC_000962.3,Rv0838,Rv0838,lpqR,934720,935487,+,lipoprotein LpqR,NP_215353.1,768
NC_000962.3,Rv0839,Rv0839,,935577,936386,+,hypothetical protein,NP_215354.1,810
NC_000962.3,Rv0840c,Rv0840c,pip,936460,937317,-,proline iminopeptidase,NP_215355.1,858
NC_000962.3,Rv0841,Rv0841,,937593,937832,+,transmembrane protein,YP_177634.1,240
NC_000962.3,Rv0842,Rv0842,,938112,939401,+,integral membrane protein,NP_215357.1,1290
NC_000962.3,Rv0843,Rv0843,,939388,940389,+,dehydrogenase,NP_215358.1,1002
NC_000962.3,Rv0844c,Rv0844c,narL,940459,941106,-,nitrate/nitrite response transcriptional regulator NarL,NP_215359.1,648
NC_000962.3,Rv0845,Rv0845,,941190,942464,+,sensor histidine kinase NarS,NP_215360.1,1275
NC_000962.3,Rv0846c,Rv0846c,,942683,944194,-,oxidase,NP_215361.1,1512
NC_000962.3,Rv0847,Rv0847,lpqS,944343,944732,+,lipoprotein LpqS,NP_215362.1,390
NC_000962.3,Rv0848,Rv0848,cysK2,944938,946053,+,cysteine synthase CysK,YP_177762.1,1116
NC_000962.3,Rv0849,Rv0849,,946056,947312,+,MFS-type transporter,NP_215364.1,1257
NC_000962.3,Rv0851c,Rv0851c,,947644,948468,-,short-chain type dehydrogenase/reductase,NP_215366.1,825
NC_000962.3,Rv0852,Rv0852,,948757,949392,+,hypothetical protein,NP_215367.2,636
NC_000962.3,Rv0853c,Rv0853c,pdc,949439,951118,-,alpha-keto-acid decarboxylase,NP_215368.1,1680
NC_000962.3,Rv0854,Rv0854,,951183,951623,+,hypothetical protein,NP_215369.1,441
NC_000962.3,Rv0855,Rv0855,far,951632,952708,+,fatty-acid-CoA racemase,NP_215370.1,1077
NC_000962.3,Rv0856,Rv0856,,952825,953226,+,hypothetical protein,NP_215371.1,402
NC_000962.3,Rv0857,Rv0857,,953257,953727,+,hypothetical protein,NP_215372.2,471
NC_000962.3,Rv0858c,Rv0858c,dapC,953730,954920,-,N-succinyldiaminopimelate aminotransferase DapC,NP_215373.1,1191
NC_000962.3,Rv0859,Rv0859,,955077,956285,+,acyltransferase,NP_215374.1,1209
NC_000962.3,Rv0860,Rv0860,fadB,956293,958452,+,fatty oxidation protein FadB,NP_215375.1,2160
NC_000962.3,Rv0861c,Rv0861c,ercc3,958526,960151,-,DNA helicase Ercc3,NP_215376.3,1626
NC_000962.3,Rv0862c,Rv0862c,,960345,962612,-,hypothetical protein,NP_215377.1,2268
NC_000962.3,Rv0863,Rv0863,,962680,962877,+,hypothetical protein,NP_215378.2,198
NC_000962.3,Rv0864,Rv0864,moaC2,962890,963390,+,cyclic pyranopterin monophosphate synthase accessory protein,NP_215379.1,501
NC_000962.3,Rv0865,Rv0865,mog,963390,963869,+,molybdopterin biosynthesis protein,NP_215380.1,480
NC_000962.3,Rv0866,Rv0866,moaE2,963869,964291,+,molybdopterin synthase catalytic subunit 2,NP_215381.1,423
NC_000962.3,Rv0867c,Rv0867c,rpfA,964315,965535,-,resuscitation-promoting factor RpfA,NP_215382.1,1221
NC_000962.3,Rv0868c,Rv0868c,moaD2,965986,966261,-,cyclic pyranopterin monophosphate synthase,NP_215383.1,276
NC_000962.3,Rv0869c,Rv0869c,moaA2,966268,967347,-,molybdenum cofactor biosynthesis protein MoaA,NP_215384.1,1080
NC_000962.3,Rv0870c,Rv0870c,,967347,967733,-,integral membrane protein,NP_215385.1,387
NC_000962.3,Rv0871,Rv0871,cspB,967898,968302,+,cold shock-like protein CspB,NP_215386.1,405
NC_000962.3,Rv0872c,Rv0872c,PE_PGRS15,968427,970244,-,PE-PGRS family protein PE_PGRS15,YP_177763.1,1818
NC_000962.3,Rv0873,Rv0873,fadE10,970505,972454,+,acyl-CoA dehydrogenase,NP_215388.1,1950
NC_000962.3,Rv0874c,Rv0874c,,972549,973706,-,hypothetical protein,NP_215389.1,1158
NC_000962.3,Rv0875c,Rv0875c,,973809,974294,-,hypothetical protein,NP_215390.1,486
NC_000962.3,Rv0876c,Rv0876c,,974294,975937,-,transmembrane protein,NP_215391.1,1644
NC_000962.3,Rv0877,Rv0877,,976075,976860,+,hypothetical protein,NP_215392.1,786
NC_000962.3,Rv0878c,Rv0878c,PPE13,976875,978203,-,PPE family protein PPE13,YP_177764.1,1329
NC_000962.3,Rv0879c,Rv0879c,,978484,978756,-,transmembrane protein,NP_215394.1,273
NC_000962.3,Rv0880,Rv0880,,978934,979362,+,HTH-type transcriptional regulator,NP_215395.1,429
NC_000962.3,Rv0881,Rv0881,,979362,980225,+,tRNA/rRNA methyltransferase,NP_215396.1,864
NC_000962.3,Rv0882,Rv0882,,980225,980506,+,transmembrane protein,NP_215397.1,282
NC_000962.3,Rv0883c,Rv0883c,,980509,981267,-,hypothetical protein,NP_215398.1,759
NC_000962.3,Rv0884c,Rv0884c,serC,981427,982554,-,phosphoserine aminotransferase,NP_215399.1,1128
NC_000962.3,Rv0885,Rv0885,,982762,983781,+,hypothetical protein,NP_215400.1,1020
NC_000962.3,Rv0886,Rv0886,fprB,983803,985527,+,ferredoxin/ferredoxin--NADP reductase,NP_215401.1,1725
NC_000962.3,Rv0887c,Rv0887c,,985516,985971,-,hypothetical protein,NP_215402.1,456
NC_000962.3,Rv0888,Rv0888,,987233,988702,+,hypothetical protein,NP_215403.1,1470
NC_000962.3,Rv0889c,Rv0889c,citA,988743,989861,-,citrate synthase 2,NP_215404.1,1119
NC_000962.3,Rv0890c,Rv0890c,,989951,992596,-,HTH-type transcriptional regulator,NP_215405.1,2646
NC_000962.3,Rv0891c,Rv0891c,,992601,993455,-,hypothetical protein,NP_215406.1,855
NC_000962.3,Rv0892,Rv0892,,993853,995337,+,monooxygenase,NP_215407.1,1485
NC_000962.3,Rv0893c,Rv0893c,,995321,996295,-,S-adenosylmethionine-dependent methyltransferase,NP_215408.1,975
NC_000962.3,Rv0894,Rv0894,,996524,997702,+,transcriptional regulator,NP_215409.1,1179
NC_000962.3,Rv0895,Rv0895,,997782,999296,+,diacyglycerol O-acyltransferase,NP_215410.1,1515
NC_000962.3,Rv0896,Rv0896,gltA2,999472,1000764,+,citrate synthase 1,NP_215411.1,1293
NC_000962.3,Rv0897c,Rv0897c,,1000811,1002415,-,oxidoreductase,NP_215412.1,1605
NC_000962.3,Rv0898c,Rv0898c,,1002444,1002704,-,hypothetical protein,NP_215413.1,261
NC_000962.3,Rv0899,Rv0899,arfA,1002812,1003789,+,peptidoglycan-binding protein ArfA,NP_215414.1,978
NC_000962.3,Rv0900,Rv0900,arfB,1003805,1003954,+,membrane protein,NP_215415.1,150
NC_000962.3,Rv0901,Rv0901,arfC,1003957,1004481,+,membrane protein,NP_215416.1,525
NC_000962.3,Rv0902c,Rv0902c,prrB,1004504,1005841,-,two component sensor histidine kinase PrrB,NP_215417.1,1338
NC_000962.3,Rv0903c,Rv0903c,prrA,1005855,1006562,-,two component transcriptional regulator PrrA,NP_215418.1,708
NC_000962.3,Rv0904c,Rv0904c,accD3,1006696,1008180,-,acetyl-CoAcarboxylase carboxyl transferase subunit beta,NP_215419.1,1485
NC_000962.3,Rv0905,Rv0905,echA6,1008207,1008935,+,enoyl-CoA hydratase EchA6,NP_215420.1,729
NC_000962.3,Rv0906,Rv0906,,1008944,1010059,+,hypothetical protein,NP_215421.1,1116
NC_000962.3,Rv0907,Rv0907,,1010136,1011731,+,hypothetical protein,NP_215422.1,1596
NC_000962.3,Rv0908,Rv0908,ctpE,1011731,1014121,+,metal cation transporter ATPase E,NP_215423.1,2391
NC_000962.3,Rv0909,Rv0909,,1014681,1014857,+,antitoxin,NP_215424.1,177
